LUFTTEMPERATUR,REL_FEUCHTE,Avg_Lufttemperatur,Std_Lufttemperatur,Avg_Rel_Feuchte,Std_Rel_Feuchte
23.1,40.0,22.38950000000004,4.63526757107456,54.798,15.520247229798684
22.5,43.0,,,,
20.2,45.0,,,,
19.0,54.0,,,,
18.2,59.0,,,,
17.4,62.0,,,,
17.0,63.0,,,,
16.6,64.0,,,,
16.2,67.0,,,,
16.0,66.0,,,,
15.0,74.0,,,,
14.6,74.0,,,,
14.4,74.0,,,,
14.9,69.0,,,,
15.7,73.0,,,,
18.3,64.0,,,,
20.2,53.0,,,,
20.9,56.0,,,,
21.8,54.0,,,,
22.3,52.0,,,,
23.9,47.0,,,,
24.4,46.0,,,,
24.7,46.0,,,,
24.0,46.0,,,,
24.1,46.0,,,,
24.3,47.0,,,,
23.5,51.0,,,,
21.6,55.0,,,,
20.5,61.0,,,,
20.3,63.0,,,,
18.8,68.0,,,,
17.8,74.0,,,,
18.3,63.0,,,,
17.6,62.0,,,,
15.9,75.0,,,,
15.7,76.0,,,,
15.8,75.0,,,,
16.5,78.0,,,,
17.8,67.0,,,,
21.0,59.0,,,,
22.0,61.0,,,,
23.6,52.0,,,,
24.7,46.0,,,,
26.1,43.0,,,,
25.0,42.0,,,,
25.0,42.0,,,,
25.9,38.0,,,,
26.6,37.0,,,,
27.1,37.0,,,,
26.9,38.0,,,,
26.3,38.0,,,,
23.8,47.0,,,,
22.4,54.0,,,,
21.4,57.0,,,,
20.2,64.0,,,,
19.9,66.0,,,,
18.7,70.0,,,,
18.4,70.0,,,,
18.4,70.0,,,,
18.1,71.0,,,,
18.0,72.0,,,,
18.2,75.0,,,,
18.8,71.0,,,,
21.1,63.0,,,,
22.4,58.0,,,,
22.3,59.0,,,,
21.2,57.0,,,,
23.2,50.0,,,,
23.8,47.0,,,,
25.4,44.0,,,,
23.1,49.0,,,,
22.7,52.0,,,,
21.6,53.0,,,,
21.7,53.0,,,,
21.3,57.0,,,,
20.8,58.0,,,,
20.1,61.0,,,,
19.6,62.0,,,,
19.2,63.0,,,,
18.6,65.0,,,,
18.5,63.0,,,,
18.1,65.0,,,,
17.6,68.0,,,,
16.8,74.0,,,,
16.6,75.0,,,,
16.6,74.0,,,,
17.5,69.0,,,,
21.0,59.0,,,,
20.9,52.0,,,,
23.9,45.0,,,,
24.3,43.0,,,,
24.1,41.0,,,,
24.8,39.0,,,,
25.5,37.0,,,,
26.5,37.0,,,,
24.1,44.0,,,,
25.3,41.0,,,,
25.0,43.0,,,,
24.1,48.0,,,,
22.4,52.0,,,,
20.9,59.0,,,,
19.9,64.0,,,,
19.0,66.0,,,,
18.3,69.0,,,,
17.5,71.0,,,,
16.8,74.0,,,,
17.0,73.0,,,,
16.9,71.0,,,,
16.5,75.0,,,,
17.5,70.0,,,,
18.2,69.0,,,,
19.5,64.0,,,,
22.4,58.0,,,,
25.7,46.0,,,,
25.2,46.0,,,,
26.0,44.0,,,,
27.4,42.0,,,,
27.0,42.0,,,,
28.2,42.0,,,,
28.8,42.0,,,,
28.1,42.0,,,,
26.9,43.0,,,,
27.0,44.0,,,,
24.6,53.0,,,,
23.5,58.0,,,,
22.2,63.0,,,,
20.9,69.0,,,,
20.0,74.0,,,,
19.2,78.0,,,,
18.4,81.0,,,,
17.8,83.0,,,,
17.2,84.0,,,,
16.6,90.0,,,,
17.2,83.0,,,,
18.4,78.0,,,,
22.4,66.0,,,,
25.1,54.0,,,,
25.2,56.0,,,,
27.1,51.0,,,,
28.3,49.0,,,,
30.1,43.0,,,,
29.5,46.0,,,,
30.0,44.0,,,,
30.0,46.0,,,,
30.7,44.0,,,,
29.7,43.0,,,,
29.1,45.0,,,,
28.2,44.0,,,,
26.7,53.0,,,,
25.2,61.0,,,,
24.2,63.0,,,,
23.4,65.0,,,,
22.2,71.0,,,,
22.0,69.0,,,,
20.9,76.0,,,,
20.6,75.0,,,,
20.3,77.0,,,,
20.8,74.0,,,,
22.2,70.0,,,,
24.7,56.0,,,,
25.4,51.0,,,,
26.7,47.0,,,,
27.8,47.0,,,,
27.4,40.0,,,,
27.8,38.0,,,,
26.2,40.0,,,,
26.9,41.0,,,,
27.0,43.0,,,,
24.9,50.0,,,,
23.1,56.0,,,,
23.5,48.0,,,,
21.6,48.0,,,,
20.4,47.0,,,,
19.1,41.0,,,,
17.5,44.0,,,,
15.5,50.0,,,,
14.4,51.0,,,,
13.1,54.0,,,,
12.7,53.0,,,,
11.7,57.0,,,,
10.5,66.0,,,,
10.6,68.0,,,,
11.7,64.0,,,,
15.1,54.0,,,,
15.3,51.0,,,,
17.6,39.0,,,,
18.2,40.0,,,,
18.9,39.0,,,,
19.2,35.0,,,,
19.5,37.0,,,,
19.9,37.0,,,,
19.8,39.0,,,,
18.9,39.0,,,,
18.0,41.0,,,,
17.2,46.0,,,,
17.2,45.0,,,,
16.4,49.0,,,,
15.0,55.0,,,,
14.1,59.0,,,,
13.3,62.0,,,,
12.4,65.0,,,,
12.0,66.0,,,,
11.3,68.0,,,,
10.9,73.0,,,,
10.4,72.0,,,,
10.7,71.0,,,,
11.2,73.0,,,,
13.9,62.0,,,,
17.4,54.0,,,,
18.7,49.0,,,,
20.2,44.0,,,,
21.5,42.0,,,,
21.5,40.0,,,,
21.9,38.0,,,,
22.1,39.0,,,,
22.2,38.0,,,,
22.0,37.0,,,,
20.9,39.0,,,,
20.7,42.0,,,,
19.2,46.0,,,,
18.1,51.0,,,,
17.2,54.0,,,,
15.8,61.0,,,,
14.5,68.0,,,,
13.7,72.0,,,,
13.7,70.0,,,,
13.1,72.0,,,,
12.0,76.0,,,,
12.1,76.0,,,,
12.3,76.0,,,,
