LUFTTEMPERATUR,REL_FEUCHTE,Avg_Lufttemperatur,Std_Lufttemperatur,Avg_Rel_Feuchte,Std_Rel_Feuchte
21.286594580020772,37.80763478225103,22.408298683332504,4.853363083451082,54.700260458793714,15.871533199342869
21.389303248525376,46.52098076707202,,,,
19.19781174653133,42.62654040075471,,,,
17.92203819727097,58.935428802954306,,,,
16.941767065404484,57.26089474678723,,,,
17.94501661513565,66.42601538184516,,,,
17.67529979177493,64.57025159168445,,,,
16.68641163731971,63.487755290243925,,,,
15.010604025028778,63.62749425688375,,,,
16.858418012124364,66.7093018245391,,,,
13.976504455444049,77.62263421600835,,,,
15.092476878738468,69.65407585523936,,,,
14.389620718870486,78.32171702641472,,,,
15.753366092618178,67.9732367000718,,,,
16.64668832071242,71.92753262498763,,,,
19.382779510637125,70.01932025987118,,,,
22.160959685836467,52.34678029675881,,,,
19.25679379853314,51.755673367696374,,,,
20.900179808013473,57.67584595778557,,,,
20.98550337184524,53.95760705350301,,,,
22.719587960616362,49.442090985036,,,,
22.41708938215734,46.780735852704936,,,,
26.85266463411151,46.33434947073047,,,,
24.993722784315256,43.291967342471786,,,,
24.69069035094628,45.27301256407239,,,,
25.25382788730465,49.89138703065558,,,,
23.743700641879077,53.61310884702888,,,,
21.301283251276594,54.024487147166965,,,,
21.056926859931256,63.04108393712492,,,,
18.72019637296095,57.90967498921043,,,,
19.75219732570854,63.64834668737352,,,,
16.60726558481655,67.05764553347845,,,,
18.5792150425861,64.79930210171996,,,,
18.33169590904143,63.56155380892635,,,,
15.251886809092905,74.29563396875871,,,,
16.44454589138042,69.51554523396382,,,,
15.397598208604142,68.28326974288588,,,,
16.607509279134433,72.50960391760346,,,,
17.69122213075825,65.91419420354431,,,,
20.74281435394314,63.026335657459356,,,,
21.141853505929095,65.20127038733305,,,,
21.560007792469673,52.30748485161228,,,,
24.50524294327414,47.981391408683535,,,,
26.073614205111653,39.41421885121795,,,,
27.06790073435306,40.85953032228587,,,,
26.99098771839401,42.01448554623567,,,,
27.026690860666683,39.20889340643655,,,,
25.551092853515012,39.33763611101395,,,,
28.557192072796408,36.36144843061011,,,,
26.92159635760447,39.041867244389096,,,,
28.7066802390722,36.6693883805756,,,,
24.630740704246996,45.76239176575086,,,,
24.11243123540048,53.2358383100426,,,,
19.698678970600056,58.945242185487835,,,,
20.63012647227053,63.70692792397756,,,,
20.45568261166071,70.36922748546671,,,,
19.575734415424165,63.10998596188443,,,,
19.705680073845947,66.49266609602678,,,,
16.81861673771985,67.1737889633059,,,,
16.39668025883386,68.83929092921642,,,,
17.86951921287742,70.72666623226553,,,,
17.745661180452984,75.13154277401122,,,,
18.510974677172094,73.16295031818755,,,,
21.42542372233723,64.56757828836378,,,,
24.391667702805012,60.27600759469867,,,,
22.26014686368956,60.502375766536474,,,,
19.43043497263194,51.8361722391603,,,,
24.010596947825793,51.77543631096884,,,,
21.636973154947338,47.88557285702956,,,,
23.533734008849276,42.73398256632092,,,,
24.527155451666857,44.10772466456664,,,,
22.42356327423683,48.580039964610975,,,,
21.942315187369456,54.04095519187715,,,,
21.42065658707995,58.02890997498576,,,,
21.15655476740835,59.005335951033196,,,,
20.338212219084348,62.80286118412297,,,,
21.82679265106762,58.41147970564615,,,,
20.614587318240897,63.42269222665312,,,,
20.274295161940017,63.02685667322432,,,,
17.114368500108363,69.14078045904446,,,,
19.289026195129303,67.33008661227112,,,,
18.360552729586203,70.07537572472856,,,,
18.10439617937455,65.85266429181213,,,,
16.777669960505186,74.70100187048946,,,,
17.62861375111405,75.40351094679326,,,,
15.301839004630624,80.85314423299741,,,,
18.142136367846838,72.45885422082212,,,,
20.898218136613554,60.03735566175744,,,,
22.409472715170377,55.06410064760898,,,,
25.547564062203218,46.410466374733986,,,,
22.45539275083979,43.45753416444702,,,,
22.267316225774046,43.28357109226452,,,,
23.043162918028138,42.6191000128597,,,,
23.40700674173012,39.19853429958371,,,,
28.35030309526876,35.603308713893846,,,,
25.3097252597673,41.59488312004727,,,,
27.049837679935624,38.04738750013007,,,,
24.929356197643695,45.877163685040074,,,,
24.26882716697471,43.51884917092488,,,,
23.90580326787763,54.46550771720124,,,,
21.292754081708246,61.54219752403565,,,,
20.51127689938562,69.67057333204059,,,,
19.525742835974686,61.79926283511756,,,,
18.438044896148146,62.15224253235468,,,,
17.110404476910674,64.90873936279486,,,,
17.902582363141313,78.95292509687609,,,,
15.332039672974041,67.29462466875152,,,,
16.46023253850772,69.08985497829484,,,,
16.43676365838374,75.3883009170226,,,,
17.846338932638123,73.39526877647505,,,,
19.960224143011168,71.37452935478241,,,,
20.870409821723488,66.09871443755772,,,,
22.175504980478664,55.363480489443184,,,,
24.810959481252976,48.58831655224688,,,,
24.182262086220167,44.32992479874868,,,,
26.957282719008525,43.86400298149987,,,,
29.49619768826919,39.032012286650584,,,,
27.99965511011822,44.90466593328794,,,,
27.34037211095458,37.92553628117199,,,,
30.556127804432226,40.64373131241403,,,,
29.986892944469673,44.77275001428308,,,,
27.370790297442714,46.47818037509229,,,,
27.57666527368424,44.210401036419526,,,,
23.535381876741056,54.14108722068551,,,,
21.41244925731528,58.08922201682496,,,,
22.97765782537622,62.6520490243133,,,,
22.74785347910059,68.23386220027955,,,,
18.63110578872479,73.48266977691547,,,,
18.53344698283881,78.25696684196112,,,,
19.09299297185005,87.34328537251297,,,,
16.731460316591225,85.45774006502177,,,,
18.08803325492776,76.59827912132877,,,,
16.414462560374226,93.60229938112089,,,,
16.508331627426777,78.1107340608771,,,,
20.178309571131933,77.16416496316717,,,,
20.63383637621248,66.4900430055104,,,,
22.93008645014676,56.39335163491835,,,,
24.329018436876776,56.18517600362734,,,,
28.221509415738552,53.10040853214446,,,,
28.033086731712796,52.35756584738861,,,,
32.94016683572588,43.58001667069013,,,,
32.0744247304273,49.82308189536116,,,,
32.350048447836265,46.793052027431976,,,,
32.264864487893874,46.87795042213355,,,,
29.375103931735996,40.094742858473865,,,,
29.316616433380922,39.279741128270416,,,,
29.343183746194967,42.512083740088386,,,,
28.964248945388206,43.29932072664471,,,,
26.372405107323367,48.97751994446665,,,,
24.820561296095494,55.380238537109214,,,,
21.86844207827132,60.77338644729323,,,,
21.583954943853257,70.06960912490325,,,,
22.819513305401774,70.88799513971831,,,,
22.10351435786895,74.39619462311424,,,,
18.839680748813677,69.45116110551777,,,,
19.020482309601427,72.71895073678047,,,,
19.861431398809657,72.11915151759779,,,,
18.924673143823153,77.24990599656292,,,,
24.386855320098014,76.48036643709519,,,,
23.47790546168948,54.03642149669481,,,,
26.372463905968047,51.872021823822585,,,,
27.041082846274836,51.54591865482073,,,,
25.271303721206632,49.88986743441386,,,,
29.21399273629784,38.25571600699211,,,,
27.45624287385594,36.762301410937226,,,,
28.512077495458342,38.933640121586244,,,,
25.933606147611123,42.91853023130978,,,,
27.136203795497988,38.925529561351155,,,,
26.685847199135836,49.75365019125928,,,,
24.468066966221187,57.61034858325613,,,,
